"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,773.069152832031
104.761575278966,612.881469726562
109.749876549306,599.93212890625
114.975699539774,476.006774902344
120.450354025878,514.486694335937
126.185688306602,406.859588623047
132.194114846603,480.931762695312
138.488637139387,392.583251953125
145.082877849594,484.629272460937
151.991108295293,423.395233154297
159.228279334109,451.586151123047
166.810053720006,360.550354003906
174.752840000768,655.323303222656
183.073828029537,526.778747558594
191.791026167249,612.514465332031
200.923300256505,583.073303222656
210.490414451202,533.64892578125
220.513073990304,711.391967773438
231.012970008316,522.498840332031
242.012826479438,515.573425292969
253.536449397011,778.309753417969
265.608778294668,572.088989257812
278.255940220712,548.477844238281
291.505306282517,760.199279785156
305.385550883341,722.092834472656
319.926713779738,597.470764160156
335.160265093884,625.416870117187
351.119173421513,627.372985839844
367.837977182863,770.096740722656
385.352859371053,763.9697265625
403.701725859655,688.909790039062
422.92428743895,707.214599609375
443.062145758388,827.157287597656
464.158883361278,789.663696289062
486.260158006535,753.478576660156
509.413801481637,733.911376953125
533.66992312063,810.877746582031
559.081018251222,860.579772949219
585.702081805666,789.014099121094
613.590727341317,797.703918457031
642.807311728431,882.832275390625
673.415065775081,884.602661132812
705.480231071863,944.9541015625
739.072203352577,872.696228027344
774.263682681126,958.157958984375
811.130830789686,982.555236816406
849.753435908643,1010.74468994141
890.215085445037,1051.20190429687
932.603346883219,1112.15600585937
977.009957299224,1193.31286621094
1023.53102189902,1191.99609375
1072.26722201032,1296.54968261719
1123.32403297803,1348.12463378906
1176.811952435,1342.98571777344
1232.84673944206,1387.57531738281
1291.54966501488,1494.63842773437
1353.0477745798,1515.59399414062
1417.4741629268,1550.6826171875
1484.96826225446,1566.62939453125
1555.67614393047,1677.27575683594
1629.75083462064,1731.71252441406
1707.35264747069,1903.59497070312
1788.64952905743,1973.27062988281
1873.81742286038,2000.22583007812
1963.04065004027,2058.8349609375
2056.51230834865,2150.53125
2154.43469003188,2316.79614257812
2257.01971963392,2301.59057617187
2364.4894126454,2453.85766601562
2477.07635599171,2633.39233398437
2595.02421139973,2719.52734375
2718.58824273294,2813.32275390625
2848.0358684358,2873.0869140625
2983.64724028333,3123.19311523438
3125.71584968823,3290.87109375
3274.54916287772,3408.78076171875
3430.46928631491,3571.54443359375
3593.81366380462,3724.69848632812
3764.93580679246,3844.6494140625
3944.20605943765,4022.08203125
4132.01240011533,4273.2900390625
4328.76128108305,4398.3173828125
4534.87850812857,4680.89453125
4750.81016210279,4892.3876953125
4977.0235643321,5098.5
5214.00828799967,5310.32861328125
5462.27721768433,5525.775390625
5722.3676593502,5752.53857421875
5994.8425031894,6102.70556640625
6280.29144183424,6284.73046875
6579.33224657566,6581.736328125
6892.61210434968,6899.658203125
7220.80901838545,7191.412109375
7564.63327554627,7582.6826171875
7924.82898353915,7850.10595703125
8302.17568131972,8225.4638671875
8697.49002617781,8640.5546875
9111.62756115487,9011.41015625
9545.48456661832,9474.0302734375
9999.99999999997,9895.765625

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,0.120681332996981
104.761575278966,0.140619132463843
109.749876549306,0.142841851727518
114.975699539774,0.173631759776327
120.450354025878,0.145639307864129
126.185688306602,0.142191358621574
132.194114846603,0.1217190219348
138.488637139387,0.106730475362491
145.082877849594,0.107442530244976
151.991108295293,0.132945526956314
159.228279334109,0.127396573178657
166.810053720006,0.161780571628972
174.752840000768,0.119165518611924
183.073828029537,0.0693518711061349
191.791026167249,0.148752719789165
200.923300256505,0.17608571681643
210.490414451202,0.143942975027381
220.513073990304,0.123085545057199
231.012970008316,0.152527394389168
242.012826479438,0.193988891340464
253.536449397011,0.112099644402151
265.608778294668,0.159961405469355
278.255940220712,0.148646607550586
291.505306282517,0.154579482048201
305.385550883341,0.110307308812479
319.926713779738,0.161836881894899
335.160265093884,0.159019438982929
351.119173421513,0.140380711489383
367.837977182863,0.0983536707884458
385.352859371053,0.135586392743113
403.701725859655,0.108829192113223
422.92428743895,0.0910758788262278
443.062145758388,0.121456261636847
464.158883361278,0.124599931449167
486.260158006535,0.116799694217647
509.413801481637,0.0983394899896749
533.66992312063,0.121729442859229
559.081018251222,0.122849619328311
585.702081805666,0.127288711967534
613.590727341317,0.127575099136666
642.807311728431,0.129175717954179
673.415065775081,0.120741632518656
705.480231071863,0.116442195397795
739.072203352577,0.117521350128585
774.263682681126,0.108639098338101
811.130830789686,0.0877496744045189
849.753435908643,0.0773601611443229
890.215085445037,0.0617057084434817
932.603346883219,0.0460823093264527
977.009957299224,0.0727510005280593
1023.53102189902,0.0632368284279504
1072.26722201032,0.061378165111617
1123.32403297803,0.0165683859952541
1176.811952435,0.0242227530823399
1232.84673944206,0.00672392339797741
1291.54966501488,-0.0152327668989891
1353.0477745798,-0.00391481325181221
1417.4741629268,-0.0391761974217724
1484.96826225446,-0.0162272025239277
1555.67614393047,-0.0529793118197582
1629.75083462064,-0.0555224058188887
1707.35264747069,-0.0894978537452062
1788.64952905743,-0.0861800900417996
1873.81742286038,-0.132303021333491
1963.04065004027,-0.111955597769817
2056.51230834865,-0.168374556306596
2154.43469003188,-0.149353930706136
2257.01971963392,-0.2013387998967
2364.4894126454,-0.252920100647414
2477.07635599171,-0.298676017913644
2595.02421139973,-0.333535595191627
2718.58824273294,-0.336736563592892
2848.0358684358,-0.397099812626575
2983.64724028333,-0.45194113866717
3125.71584968823,-0.515812278937803
3274.54916287772,-0.588450818420073
3430.46928631491,-0.61821552659305
3593.81366380462,-0.691537701912578
3764.93580679246,-0.745743181173051
3944.20605943765,-0.850989211872096
4132.01240011533,-0.938258501541283
4328.76128108305,-1.01841705454004
4534.87850812857,-1.12281310246844
4750.81016210279,-1.25285081931434
4977.0235643321,-1.36071653428433
5214.00828799967,-1.50323597464452
5462.27721768433,-1.59398259282161
5722.3676593502,-1.77938130795418
5994.8425031894,-1.98080090610393
6280.29144183424,-2.12157075858113
6579.33224657566,-2.34216934789894
6892.61210434968,-2.47900290127694
7220.80901838545,-2.76235364283722
7564.63327554627,-2.97686442261842
7924.82898353915,-3.24564293262846
8302.17568131972,-3.52703563116889
8697.49002617781,-3.80329819473495
9111.62756115487,-4.04134206576754
9545.48456661832,-4.36719416360143
9999.99999999997,-4.77679648075778

